"Date","Record Number","Record Type","Address","Status","Description","Project Name","Short Notes",
"02/25/2025","BLDNCC-2025-02890","New Commercial Construction Permit","477 S High Point RD, Madison WI 53719 United States","Issued","addition of second floor decks in same footprint as previous units C and D",,"addition of second floor decks in same footprint as previous units C and D",
"02/24/2025","BLDNCC-2025-02834","New Commercial Construction Permit","706 John Nolen DR, Madison WI 53713 United States","Issued","Marriott - convert Sheraton hotel to Marriot Hotel, alterations to common areas",,"Marriott - convert Sheraton hotel to Marriot Hotel, alterations to common areas",
"02/24/2025","BLDNCC-2025-02828","New Commercial Construction Permit","6730 Odana RD, Madison WI 53719 United States","Closed","Qamaria Madison - new tenant alteration",,"Qamaria Madison - new tenant alteration",
"02/21/2025","BLDNCC-2025-02779","New Commercial Construction Permit","2352 S Park ST, 324, Madison WI 53713 United States","Closed","CEOs of Tomorrow - shell build out",,"CEOs of Tomorrow - shell build out",
"02/21/2025","BLDNCC-2025-02770","New Commercial Construction Permit","22 E Mifflin ST, 900, Madison WI 53703 United States","Inspections Complete","Wisconsin Counties Association - existing tenant alteration",,"Wisconsin Counties Association - existing tenant alteration",
"02/21/2025","BLDNCC-2025-02766","New Commercial Construction Permit","3527 University AVE, Madison WI 53705 United States","Closed","Puffin Pass - change of use for new tenant, no construction work required",,"Puffin Pass - change of use for new tenant, no construction work required",
"02/21/2025","BLDNCC-2025-02745","New Commercial Construction Permit","365 East Campus MALL, 200, Madison WI 53715 United States","Closed","Upper House - convert classrooms, breakroom, and office into 9 offices and library",,"Upper House - convert classrooms, breakroom, and office into 9 offices and library",
"02/21/2025","BLDNCC-2025-02740","New Commercial Construction Permit","797 Braxton PL, Madison WI 53715 United States","Issued","New 5 Story residential with 164 units, CDA office, and UG parking",,"New 5 Story residential with 164 units, CDA office, and UG parking",
"02/21/2025","BLDNCC-2025-02738","New Commercial Construction Permit","102 E Rusk AVE, Madison WI 53713 United States","Closed","convert existing hotel brand from Clarion to Spark by Hilton interior only",,"convert existing hotel brand from Clarion to Spark by Hilton interior only",
"02/21/2025","BLDNCC-2025-02719","New Commercial Construction Permit","101 Metro TER, Madison WI 53718 United States","Closed","two story deck addition in same footprint as previous",,"two story deck addition in same footprint as previous",
"02/20/2025","BLDNCC-2025-02684","New Commercial Construction Permit","4652 S Biltmore LN, Madison WI 53718 United States","Closed","Change of Use Evexeya Health",,"Change of Use Evexeya Health",
"02/20/2025","BLDNCC-2025-02683","New Commercial Construction Permit","6175 Dell DR, Madison WI 53718 United States","Closed","Addition of 4 decks with privacy walls in existing footprint",,"Addition of 4 decks with privacy walls in existing footprint",
"02/20/2025","BLDNCC-2025-02682","New Commercial Construction Permit","6167 Dell DR, Madison WI 53718 United States","Closed","Addition of 4 decks with privacy walls in existing footprint",,"Addition of 4 decks with privacy walls in existing footprint",
"02/20/2025","BLDNCC-2025-02681","New Commercial Construction Permit","6161 Dell DR, Madison WI 53718 United States","Closed","Addition of 4 decks with privacy walls in existing footprint",,"Addition of 4 decks with privacy walls in existing footprint",
"02/20/2025","BLDNCC-2025-02680","New Commercial Construction Permit","6159 Dell DR, Madison WI 53718 United States","Closed","Addition of 4 decks with privacy walls in existing footprint",,"Addition of 4 decks with privacy walls in existing footprint",
"02/20/2025","BLDNCC-2025-02676","New Commercial Construction Permit","6155 Dell DR, Madison WI 53718 United States","Closed","Addition of 4 decks with privacy walls in existing footprint",,"Addition of 4 decks with privacy walls in existing footprint",
"02/20/2025","BLDNCC-2025-02675","New Commercial Construction Permit","6153 Dell DR, Madison WI 53718 United States","Closed","Addition of 4 decks with privacy walls in existing footprint",,"Addition of 4 decks with privacy walls in existing footprint",
"02/20/2025","BLDNCC-2025-02672","New Commercial Construction Permit","6151 Dell DR, Madison WI 53718 United States","Closed","Addition of 4 decks with privacy walls in existing footprint",,"Addition of 4 decks with privacy walls in existing footprint",
"02/20/2025","BLDNCC-2025-02663","New Commercial Construction Permit","6147 Dell DR, Madison WI 53718 United States","Closed","Addition of 4 decks with privacy walls in existing footprint",,"Addition of 4 decks with privacy walls in existing footprint",
"02/20/2025","BLDNCC-2025-02662","New Commercial Construction Permit","6145 Dell DR, Madison WI 53718 United States","Closed","Addition of 4 decks with privacy walls in existing footprint",,"Addition of 4 decks with privacy walls in existing footprint",
"02/20/2025","BLDNCC-2025-02654","New Commercial Construction Permit","6143 Dell DR, Madison WI 53718 United States","Closed","Addition of 4 decks with privacy walls in existing footprint",,"Addition of 4 decks with privacy walls in existing footprint",
"02/20/2025","BLDNCC-2025-02648","New Commercial Construction Permit","749 University ROW, 320, Madison WI 53705 United States","Closed","Atmosphere Commercial Interiors - new tenant alteration",,"Atmosphere Commercial Interiors - new tenant alteration",
"02/20/2025","BLDNCC-2025-02646","New Commercial Construction Permit","625 N Segoe RD, 200, Madison WI 53705 United States","Issued","bathroom remodel - layout alteration",,"bathroom remodel - layout alteration",
"02/20/2025","BLDNCC-2025-02644","New Commercial Construction Permit","5505 Endeavor LN, Madison WI 53719 United States","Issued","Exact Sciences - install walk in Cooler and Freezer",,"Exact Sciences - install walk in Cooler and Freezer",
